INDEX	INTERNEL_INDEX	ARTICLE_TITLE	PUBLICATION	LOCATION_COUNTRY	LOCATION_EXACT	LOCATION_TYPE	MONTH	YEAR	SERIOUSNESS	INCIDENT	INCIDENT-CRASH	INCIDENT-CRASH-WITH_ENVIRONMENT	TIME_OF_DAY	WEATHER	ROAD_SURFACE	VEHICLE_GENERAL	DRIVER_AGE	DRIVER_GENDER	DRIVER_NAT_LANG	DRIVER_LOCAL?	DISTRACTED	CAUSE_GIS	WRONG_ATTRIBUTES_BREAKDOWN	PERSISTENT	Link1
103	503	Woman drives into sand trap // Tells police: GPS led me to golf club	Sarasota Herald Tribune (Florida)	United States		Urban	6	2012	major-injury	stranded/stuck			morning/afternoon	no	off-road	car	46	F			yes	missing or incorrect geographic objects			
104	516	Lost truckers find a dead end	Ottumwa Courier (Iowa)	United States		Urban	2	2011	low	stranded/stuck			morning/afternoon	no	paved road	truck		M			no	missing or incorrect attributes	road characteristics		
105	521	Satnav gets trucker stuck in narrow lane	Pretoria News (South Africa)	South Africa		Urban	12	2011	medium	crash	crash with environment	building/wall/guardrail/pole	morning/afternoon	no	paved road	truck	47	M	no	no	no	incorrect routing preference			
106	532	Truck driver pleads guilty in crash involving train in Topton	Reading Eagle (Pennsylvania)	United States		Urban	8	2014	medium	crash	crash with vehicle		morning/afternoon	no	paved road	truck	65	M		no	no	missing or incorrect attributes	road characteristics		
107	534	A dozen drivers trapped in snowdrifts by their satnavs on rural roads	East Lothian Courier	United Kingdom		Rural	2	2016	major-injury	stranded/stuck				extreme	paved road	car				no	no			Yes	
108	535	"Police, fire report: 4 rescued after vehicle gets stuck in snow"	"The Columbian (Vancouver, Washington)"	United States		Rural	11	2014	major-injury	stranded/stuck			evening/night	extreme		car	23	M		no	no	missing or incorrect attributes	road characteristics		
109	536	Satnav errors ruining holidays	Scottish Express	United Kingdom		Rural	7	2012	low	detour				no	paved road	car			no		no	toponym disambiguation		Yes	Missed their flights
110	541	Family member feels left in the dark after brother killed	"Times-News (Burlington, North Carolina)"	United States		Urban	3	2012	major-death	crash	crash with pedestrian		morning/afternoon	no	paved road	car	19	F			yes				
111	551	Tywyn pupils wake up in Towyn after driver's satnav gaffe; COACH TAKES CHILDREN TO WRONG TOWN AFTER TRIP	The Western Mail	United Kingdom			4	2013	low	detour			morning/afternoon	no	paved road	bus		M	yes	no	no	toponym disambiguation			
112	558	Sobs and tears	Sunday World (South Africa)	South Africa			8	2012	major-death	crash	crash with pedestrian			no	paved road	car	25	M			yes	instruction/visualization			
113	569	"GPS led couple astray, rescued woman's pastor says"	"Guelph Mercury (Ontario, Canada)"	United States		Rural	3	2011	major-injury	stranded/stuck				no	dirt road	car	59	M		no	no	incorrect routing preference			
114	571	Low bridge struck by 17 lorries in a year gets its own CCTV cameras	The Evening Standard (London)	United Kingdom	"@51.546944,-0.0366917,17z"	Urban	1	2016	medium	crash	crash with environment	overhead bridge		no	paved road	truck				no	no	missing or incorrect attributes	clearance height	Yes	
115	583	What would you do if you were stranded here? --- One family was - police told them to wait four days for rescuers	The Daily Telegraph (Australia)	Australia	"@-30.0940537,145.5139499,10z"	Rural	8	2010	major-injury	stranded/stuck				extreme	dirt road	car	49	M		no	no	incorrect routing preference			
116	586	EDITORIAL: When GPS leads us astray	"The Salem News (Beverly, Massachusetts)"	United States	"@42.3422588,-71.1219476,18.81z"	Urban	8	2016	major-injury	stranded/stuck			evening/night	no	road_for_other_transportation	car	22	F	yes		no	instruction/visualization			http://archive.boston.com/yourtown/news/brookline/2012/08/woman_drives_onto_mbta_tracks.html
117	587	In our view: Cheers & Jeers	"The Columbian (Vancouver, Washington)"	United States		Rural	1	2010	major-injury	stranded/stuck				extreme				M	yes		no				
118	600	"Weekend accidents keep police, fire and ambulance busy"	"Bowen Independent (North Queensland, Australia)"	Australia	"@-20.0007436,148.2350654,17.93z"	Urban	6	2012	medium	crash	crash with environment	roundabout	evening/night	no	paved road	car	19	M	yes	no	yes				
119	605	Heavy loads pose danger on highways; Wrecks on area roads illustrate risks to motorists; CLOSER LOOK PUBLIC SAFETY	Dayton Daily News (Ohio)	United States	"@40.0779207,-84.2224825,18.23z"	Urban	8	2014	medium	crash	crash with environment	overhead bridge		no	paved road	truck		M	yes		no	missing or incorrect attributes	clearance height		
120	607	Gps Gets Truck Stuck; Too Big For Covered Bridge	"Intelligencer Journal/New Era (Lancaster, Pennsylvania)"	United States	"@40.087395,-76.2478019,19.48z"	Urban	5	2012	medium	crash	crash with environment	bridge	evening/night	no	paved road	truck	54	M	yes	no	no	missing or incorrect attributes	bridge limitation		
121	614	Woman's check of GPS leads to accident	The Lebanon Daily News (Pennsylvania)	United States	"@40.4286156,-76.5092974,15.07z"	Urban	5	2015	major-death	crash	crash with vehicle		morning/afternoon	no	paved road	car	29	F	yes	yes	yes				
122	620	Getting Real In Police Logs; Time Flies	"Sunday News (Lancaster, Pennsylvania)"	United States		Urban	7	2011	medium	crash	crash with environment	building/wall/guardrail/pole		no	dirt road	truck		M	yes	no	no				
123	624	Sat-gaffe cop peril	The Sun (England)	United Kingdom	"@52.4020478,-1.1742712,13.86z"	Urban	1	2015	medium	wrong way			evening/night	no	paved road	car	29	F	yes		no				http://www.dailymail.co.uk/news/article-3178808/Driver-wrong-A14-following-sat-nav.html
124	644	Drivers stuck in mud after 'satnav error'	Daily Echo (Newsquest Regional Press)	United Kingdom	"@50.9583208,-1.2175237,17.25z"	Urban	11	2014	low	stranded/stuck				no	dirt road	car					no	missing or incorrect attributes	road characteristics	yes	http://www.bbc.com/news/uk-england-hampshire-30241880
125	656	IT WAS TERRIBLE' NEAR RECORD SNOW SNARLS REGION	"Messenger-Inquirer (Owensboro, Kentucky)"	United States	"@37.9473854,-86.861214,15.4z"	Urban	3	2015	low	stranded/stuck			evening/night	extreme		truck			yes	yes	no				
126	663	SATNAV WIFE: FORD LOOKED SHALLOW	Daily Mirror	United Kingdom	"@51.1117764,-0.834602,15.62z"	Urban	4	2012	major-death	crash	crash with environment	water		extreme	off-road	car	52	F	yes	no	no	missing or incorrect attributes	road characteristics		http://www.dailymail.co.uk/news/article-2222224/Judge-Jonathan-Gammon-drowned-car-sat-nav-directed-wife-heavily-flooded-ford.html
127	664	GPS leads man down wrong road	Prince George Citizen (British Columbia)	Canada	"@53.9139396,-121.934549,12.9z"	Rural	8	2011	major-death	stranded/stuck				no	dirt road	car	45	M	yes	no	no	missing or incorrect attributes	road characteristics		
128	675	"BOY, 10, CHOKED TO DEATH AFTER AMBULANCE SATNAV FAILED TO FIND HIS HOME"	DAILY MAIL (London)	United Kingdom		Urban	3	2012	major-death	detour			evening/night	no	paved road	SPV			yes	yes	no	geocoding			new address
129	685	South Bay iPhone users returned to home addresses after GPS glitch fixed	"Daily Breeze (Torrance, California)"	United States	"@40.0232026,-105.2605924,17.49z"	Urban	3	2010	low	detour				no							no	geocoding			
130	693	Lorry driver stranded as SatNav sends him (almost) round bend	Manchester Evening News	United Kingdom	"@53.5540939,-1.9919011,17.15z"	Urban	11	2011	major-injury	stranded/stuck			evening/night	no	paved road	truck		M	yes	no	no	missing or incorrect attributes	road characteristics		
131	696	Bridge claims another truck	"Tonawanda News (North Tonawanda, New York)"	United States	"@43.013814,-78.8687344,18.24z"	Urban	4	2010	medium	crash	crash with environment	overhead bridge	morning/afternoon	no	paved road	truck			yes	no	no	missing or incorrect attributes	clearance height		
132	713	Satnav alert on the Old Coach Road	Knox Leader (Australia)	Australia	"@-37.8172523,145.3612072,17.7z"	Rural	12	2011	medium	crash	crash with environment	building/wall/guardrail/pole		extreme	dirt road	car	20	F	yes		no	missing or incorrect attributes	road characteristics		
133	715	POLICE & COURTS	Buffalo News (New York)	United States			10	2010	major-death	crash	crash with environment	barricade	evening/night	no	paved road	car	20	F	yes		yes				
134	720	Man charged in East Elm railroad bridge collision	Enid News & Eagle (Oklahoma)	United States	"@35.5227536,-97.9018615,19.31z"	Rural	5	2015	medium	crash	crash with environment	overhead bridge	evening/night	no	paved road	truck	56	M	yes	no	yes	missing or incorrect attributes	clearance height		
135	736	Wrong-way driver's victim 'lucky to be alive'; Officer says she's glad for her reinforced cruiser	The Tampa Tribune (Florida)	United States			10	2014	major-death	wrong way				no	paved road	car					no	instruction/visualization			
136	781	MY BABY DIED AFTER AMBULANCE DRIVER GOT LOST TWICE	DAILY MAIL (London)	United Kingdom		Urban	5	2013	major-death	detour				no	paved road	SPV			yes	yes	no	geocoding			new address
137	787	Family's sorrow over showjumper Hannah Jessica Wiley's death	News Letter	United Kingdom		Urban	8	2012	major-death	detour				no		SPV			yes	no	no	geocoding			so vague
138	796	"WRONG TURN; STUCK DRIVER J TRUCK ENDED UP JAMMED SOLID IN THE LANE AND HAD TO BE WINCHED OUT. THE WALLS OF THE LANE WERE DAMAGED, RIGHT, IN THE RESCUE EFFORT"	Daily Record	United Kingdom		Urban	10	2011	medium	crash	crash with environment	building/wall/guardrail/pole		no	paved road	truck		M	yes		no	missing or incorrect attributes	road characteristics		
139	800	SATNAV GLITCHES LEAVE ZIL LANE DRIVERS IN THE DARK	MAIL ON SUNDAY (London)	United Kingdom		Urban	7	2012	low	detour				no	paved road	car			yes	no	no	missing or incorrect attributes	traffic rule		ignored dedicated route for Olymipcs
140	806	Tourists follow sat-nav road to nowhere GPS leads tourists on outback adventure	"NewsMail and Rural Weekly (Wide Bay, Bundaberg, Queensland)"	Australia	"@-25.116449,152.0839165,11.96z"	Rural	5	2010	major-injury	stranded/stuck			evening/night	no	dirt road	car			no	no	no	incorrect routing preference			
141	812	I didn't see bridge until last second	Leicester Mercury	United Kingdom	"@52.625839,-1.1289404,18.72z"	Urban	7	2010	major-injury	crash	crash with environment	overhead bridge		no	paved road	bus	25	M	yes	no	yes	missing or incorrect attributes	clearance height		
142	817	Man escapes fiery inferno on highway	"Waikato Times (Hamilton, New Zealand)"	New Zealand	"@-37.4243515,175.7905852,13.82z"	Rural	5	2016	medium	crash	crash with environment	building/wall/guardrail/pole		extreme	paved road	car		M	yes		no				too much confidence with GPS? Why did he thinks he is on Hwy 2?
143	841	VICTIM IDENTIFIED IN FATAL ACCIDENT	Tampa Bay Times	United States	"@27.7725249,-82.6940288,15.45z"	Urban	8	2013	medium	crash	crash with vehicle		evening/night	no	paved road	car	58	M	yes	yes	yes	instruction/visualization			"interesting, set to wrong location, get distracted by the unexpected instruction"
144	843	Teenager pleads guilty in fatal crash	Chicago Daily Herald	United States		Urban	12	2015	major-death	crash	crash with pedestrian		evening/night	no	paved road	car	18	F	yes		yes				texting on GPS
145	845	Truck driver charged in collision with bridge	The Mississauga News	United States	"@43.0141826,-78.8689438,17.1z"	Urban	8	2011	medium	crash	crash with environment	overhead bridge	evening/night	no	paved road	truck		M	yes	no	no	missing or incorrect attributes	clearance height	yes	
146	879	"Man: GPS put me in train's path; '; Device told him to turn right, and suddenly he was on the tracks, facing a crash."	Palm Beach Post (Florida)	United States	"@26.6088885,-80.0694245,19.84z"	Urban	3	2014	medium	crash	crash with vehicle		evening/night	no	road_for_other_transportation	car		M	yes	no	no	instruction/visualization		yes	must see! so many good things
147	890	"On back roads, GPS can hinder rather than help"	The Keene Sentinel (New Hampshire)	New Zealand	"@42.8682472,-72.3297126,17z"	Urban	1	2013	medium	crash	crash with environment	bridge		no	paved road	truck			yes		no	missing or incorrect attributes	bridge limitation	yes	
148	909	Morrison's treble trouble as satnav goes off piste; Misfiring technology and road closures bring traffic problems on the morning gallops	The Daily Telegraph (London)	United Kingdom	"@51.2421294,-0.6690917,12.76z"	Urban	1	2016	low	stranded/stuck			evening/night	no	paved road	truck		M	yes	no	no	missing or incorrect attributes	road characteristics		
149	913	Google: Data sources reason for lower reliability of maps	The Brownsville Herald (Texas)	United States	"@26.076055,-97.2450714,17.24z"	Urban	8	2010	low	detour				no	paved road	car			yes	no	no	geocoding		yes	
150	915	"GPS lands driver in Lake Huron; Wrong turn in fog, rain, leaves Kitchener woman swimming at bottom of Tobermory boat ramp"	London Free Press	Canada	"@45.2558858,-81.6638267,17.05z"	Urban	5	2016	major-injury	crash	crash with environment	water	evening/night	extreme	paved road	car	23	F	yes	yes	no	instruction/visualization			
151	952	Widower files lawsuit in wife's Cline Avenue death	"Post-Tribune, Merrillville, Ind."	United States	"@41.6535222,-87.4724111,337m"	Urban	3	2016	major-death	crash	crash with environment	barricade	morning/afternoon	no	paved road	car	64	M	yes		no	missing or incorrect geographic objects			
152	957	"Gun-toting lovebird's arrest raises U.S. ire; Honest mistake, says former army officer"	Windsor Star (Ontario)	Canada			2	2014	low	trespass				no	paved road	car	46	M	yes		no	missing or incorrect attributes	geopolitical boundary		space usage rule
153	958	New Jersey: No injuries reported in Clinton Township train collision Monday night	US Official News	United States	"@40.9360557,-74.1594576,17.27z"	Urban	2	2015	medium	stranded/stuck			evening/night	extreme	road_for_other_transportation	car	42	M	yes	no	no				http://www.transitblogger.com/accidents/nj-transit-train-strikes-vehicle.php
154	960	"Prone to crashes, intersection tops OKC's most dangerous list"	"The Daily Oklahoman (Oklahoma City, OK)"	United States	"@35.5223744,-97.5443109,17.19z"	Urban	9	2012	major-death	crash	crash with vehicle			no	paved road	car	48	F	yes	no	no	instruction/visualization		yes	
155	973	Truck gets stuck	"The Evening Sun (Hanover, Pennsylvania)"	United States	"@39.8541227,-76.7713104,19.89z"	Urban	9	2010	medium	crash	crash with environment	overhead bridge	morning/afternoon	no	paved road	truck			yes	no	no	missing or incorrect attributes	clearance height	yes	
156	979	Courts	Western Gazette series	United Kingdom	"@51.0955563,-2.483452,14.13z"	Urban	5	2013	medium	crash	crash with vehicle			no	paved road	car	49	M	yes	no	yes				
157	981	"GPS only as good as driver using it: experts; n While useful, there are many examples of drivers who follow instructions blindly, often with funny or even tragic results"	The Times & Transcript (New Brunswick)	United States	"@41.1196946,-81.4875842,17.81z"	Urban	6	2015	major-injury	crash	crash with vehicle		evening/night	no	road_for_other_transportation	car	24	M	yes		no	instruction/visualization			http://www.nydailynews.com/news/national/ohio-man-gps-railroad-tracks-avoids-train-article-1.2276248
158	984	GPS steers driver to disaster	"The Chronicle (Toowoomba, Queensland)"	Australia			6	2010	medium	crash	crash with environment	building/wall/guardrail/pole	evening/night	no	dirt road	car		F	yes	no	no	missing or incorrect attributes	road characteristics		
