INDEX	INTERNEL_INDEX	ARTICLE_TITLE	PUBLICATION	LOCATION_COUNTRY	LOCATION_EXACT	LOCATION_TYPE	MONTH	YEAR	SERIOUSNESS	INCIDENT	INCIDENT-CRASH	INCIDENT-CRASH-WITH_ENVIRONMENT	TIME_OF_DAY	WEATHER	ROAD_SURFACE	VEHICLE_GENERAL	DRIVER_AGE	DRIVER_GENDER	DRIVER_NAT_LANG	DRIVER_LOCAL?	DISTRACTED	CAUSE_GIS	WRONG_ATTRIBUTES_BREAKDOWN	PERSISTENT	Link1
22	53	Using satnav to go to Lourdes? Now that would take a miracle	The Daily Telegraph (London)	France	"@43.1091139,-0.1507532,12z"	Urban	8	2016	low	detour				no	paved road						no	toponym disambiguation		yes	
23	59	"Eastbound and down: A GPS gone awry; Ontario woman led astray into rain-soaked marshland, trapping her car in the muck and requiring a 911 rescue"	The Globe and Mail (Canada)	Canada	"@44.202266,-77.7744291,13.91z"	Rural	10	2010	major-injury	stranded/stuck			evening/night	extreme	dirt road	car	25	F	yes	no	no	missing or incorrect attributes	road characteristics	no	
24	62	GPS improvements are around the bend	The Washington Post	United States			6	2012	major-injury	detour				no	paved road	car			yes	no	no	incorrect routing preference			
25	62	GPS improvements are around the bend	The Washington Post	United States			6	2012	low	detour				no	paved road	car					no	incorrect routing preference			
26	64	"WALL OF SILENCE; NO ANSWERS, ONLY ANGUISH AS PUPILS WEEP FOR TRAGIC NATASHA, 17"	Daily Record	United Kingdom	"@55.510539,-3.6957017,14.44z"	Rural	4	2010	major-death	crash	crash with environment	building/wall/guardrail/pole	evening/night	extreme	paved road	bus	61	M	yes	no	no			no	
27	69	Opening statement heard in fatal La Canada Flintridge big-rig crash case	Pasadena Star-News (California)	United States	"@34.2059365,-118.2019364,17z"	Urban	6	2011	major-death	crash	crash with vehicle		evening/night	no	paved road	truck	44	M	yes	no	no	missing or incorrect attributes	road characteristics	no	
28	74	Don't ditch your paper maps just yet	"Star Tribune (Minneapolis, MN)"	United States		Urban	7	2013	low	detour				no	paved road	car	43	F	yes	yes	no	missing or incorrect attributes	temporary blocakge	yes	
29	75	Tractor-trailer crashes into brush off Gordon Mountain Road	"Republican & Herald (Pottsville, Pennsylvania)"	United States	"@40.7381893,-76.3131052,16.25z"	Rural	8	2010	medium	crash	crash with environment	building/wall/guardrail/pole	morning/afternoon	no	paved road	truck	49	M	yes	no	no	missing or incorrect attributes	road characteristics	yes	
30	77	Satnav directs Belgians to Yorkshire	South Wales Echo	United Kingdom	"@53.3393458,-1.3203254,13z"	Urban	6	2015	low	detour			morning/afternoon	no	paved road	bus			no	no	no	toponym disambiguation		no	
31	81	Satellite led lorry to a sticky end	Aberdeen Press and Journal	United Kingdom	"@51.1119871,-2.4594345,17z"	Urban	10	2011	medium	stranded/stuck				no	paved road	truck	60		yes	no	no	missing or incorrect attributes	road characteristics	no	
32	82	Train strikes abandoned car on tracks in Sinking Spring	Reading Eagle (Pennsylvania)	United States	"@40.3227273,-76.0269189,17.42z"	Urban	6	2013	low	stranded/stuck			evening/night	no	road_for_other_transportation	car		F			no				
33	83	JAIL FOR DRIVER WHO KILLED A CYCLIST WHILE FIDDLING WITH HER SATNAV	DAILY MAIL (London)	United Kingdom			9	2013	major-death	crash	crash with pedestrian			no	paved road	car	38	F	yes	yes	yes				
34	84	When big rig drivers get lost	"Pocono Record, Stroudsburg, Pa."	United States		Rural	3	2012	medium	crash	crash with environment	overhead bridge	morning/afternoon	no	paved road	truck		M			no	missing or incorrect attributes	clearance height		http://www.poconorecord.com/article/20120523/NEWS/205230323
35	89	Steep Gordon hill still worries residents	"Republican & Herald (Pottsville, Pennsylvania)"	United States			3	2010	major-death	crash	crash with environment	building/wall/guardrail/pole		no	paved road	truck	49	M	yes	yes	no	missing or incorrect attributes	road characteristics		
